alert,etsy_source_row,etsy_listing_key,etsy_title,etsy_sku,printify_product_id,printify_title,printify_variant_id,printify_sku
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",DCC72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",CSF724Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",CSF90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",CSF72,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",BPD90PL8Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",BPD904Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",BPD728Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",BPD724Nap,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",BPD90,,,,
ETSY_SKU_NO_PRINTIFY_MATCH,27.0,f2520b7e2731b2b2,"Personalized Christmas Table Runner, Custom Family Name Holiday Decor, 4 Festive Designs",BPD72,,,,
